,user_id,date,is_weekend,text,lat,lng,governorate,area
0,2900698000.0,2018-06-07 23:51:00,False,"I'm at Salhiya Complex in Kuwait City, Al Asimah ",29.363575,47.96642,Capital,Qibla
1,351574880.0,2018-03-15 22:00:00,False,I'm at BRO By Brothers in Shuwaikh ,29.341764,47.942802,Capital,Shuwaikh Industrial - 1
2,351574880.0,2018-04-05 06:56:00,False,I'm at North Ahmadi New Road ,29.12428,48.069756,Ahmadi,Magwa
3,3957871000.0,2020-10-26 13:37:00,False,I'm at Boubyan Bank ,29.234064,48.07787,Mubarak Al-Kabeer,Al-Adan
4,3957871000.0,2019-10-19 22:43:00,True,"I'm at Mubarak Al Kabir in Mubarak al Kabir, Muhafazat Mubarak al Kabir ",29.187698,48.08288,Mubarak Al-Kabeer,Mubarak Al-Kabeer
5,3957871000.0,2018-05-08 19:03:00,False,I'm at İskenderpasa in Kuveyt ,29.142029,48.12957,Ahmadi,Mahboula
6,3957871000.0,2019-07-12 19:48:00,True,I'm at خط الملك فهد in مبارك الكبير ,29.193949,48.06322,Mubarak Al-Kabeer,South Wosta
7,3957871000.0,2019-01-13 14:40:00,False,I'm at مركز خدمة تويوتا in Al Ahmadi ,29.084005,48.089493,Ahmadi,East Ahmadi
8,3957871000.0,2018-01-20 17:45:00,True,"I'm at برج الساعه (الدائري الخامس) in Kuwait City, Hawally Governorate ",29.306671,48.02182,Hawalli,Al-Salam
9,3957871000.0,2020-12-24 23:49:00,False,"I'm at Mubarak Al-Kabeer in Kuwait, Mubarak Al-Kabeer ",29.193174,48.08115,Mubarak Al-Kabeer,Mubarak Al-Kabeer
10,764880400.0,2018-12-26 18:49:00,False,I'm at His Majesty The Coffee in Kuwait City ,29.381495,47.993027,Capital,Sharq
11,8.46e+17,2018-12-18 07:10:00,False,"الجو قعد يقولي يالسنقل يالمصخره\U0001f486\U0001f3fb‍♀️ (@ بحر أبو الحصانيه in Abu Al-hasanya, Ahmadi) ",29.20171,48.112446,Mubarak Al-Kabeer,Abu Ftaira
12,8.46e+17,2017-12-25 09:39:00,False,يارب لاتضيع لي جهد ولا تعب ولاتهدم لي حلم اللهم يسر لي وسهل لي ما استصعبت وهب لي توفيقاً يملأني رضا \U0001f343\U0001f495 ,29.277206,47.920704,Farwaniya,Ardhiya - 6
13,8.46e+17,2018-07-07 20:30:00,True,"I'm at 360\xb0 @Mall360 in Kuwait City, Al Asimah w/ @h495_x ",29.267712,47.99287,Hawalli,Zahra
14,8.46e+17,2018-01-14 17:57:00,False,I'm at MUG coffee house ,29.099226,48.13718,Ahmadi,Mangaf
15,8.46e+17,2018-09-26 18:20:00,False,#كتب #جديدة  للكاتبة #د_سعاد_الصباح #الدكتوره_سعاد_الصباح #الدكتورة_سعاد_الصباح #رسائل_الزمن_الجميل… ,29.3328,48.0286,Hawalli,Hawalli
16,8.46e+17,2020-05-03 22:16:00,False,ادوات كنفة للخياطة @ Kuwait City ,29.3697,47.9783,Capital,Qibla
17,8.46e+17,2019-01-20 00:22:00,False,"I'm at South Surra in Kuwait city, Kuwait ",29.28421,48.0111,Hawalli,Hitteen
18,8.46e+17,2019-06-28 12:12:00,True,"Good morning (@ شاليهات ٢٧٨ in Al Khiran, Al Asimah) ",28.666426,48.36747,Ahmadi,Sabah Al-Ahmad Al-Bahrya
19,8.46e+17,2018-08-26 14:46:00,False,"I'm at The Avenuse in Al Kuwayt, Al Farwaniyah ",29.302872,47.940205,Farwaniya,Al-Rai
20,8.4e+17,2018-10-26 15:35:00,True,"♥️\U0001f60f (@ ديرة مطير in Al Kuwayt, Al Farwaniyah) ",29.27392,47.88297,Farwaniya,Sabah Al-Nasser
21,8.4e+17,2020-08-25 10:12:00,False,"I'm at The Avenues in Kuwait City, Al Farwaniyah Governorate ",29.303034,47.93671,Farwaniya,Al-Rai
22,8.4e+17,2019-12-24 21:20:00,False,I'm at Trolley AlMansouriya in Al Kuwayt ,29.358477,47.999172,Capital,Mansouriya
23,8.4e+17,2019-05-03 21:40:00,True,📍💙 (@ Sabah Al-A7mad city) ,29.33377,47.920128,Capital,Shuwaikh Education
24,8.4e+17,2019-09-24 13:45:00,False,"I'm at Grand Avenue in Kuwait, Al ‘Āşimah ",29.303371,47.93909,Farwaniya,Al-Rai
25,8.4e+17,2020-10-19 00:57:00,False,I'm at @ShakeShack | شيك شاك in Jabriya ,29.321613,48.016903,Hawalli,Jabriya
26,8.4e+17,2019-09-26 10:42:00,False,"I'm at T La Felice in Kuwait City, Al Asimah Governate ",29.340973,47.941803,Capital,Shuwaikh Industrial - 1
27,8.4e+17,2018-08-08 19:29:00,False,"I'm at VOX Cinemas in Avenues Mall, Al Farwaniyah Governorate ",29.304747,47.94308,Farwaniya,Al-Rai
